"SPECCD_ID","SCIENTIFIC","COMMON","MARFIS_CODE"
539,"DOLICHOPTERYX BINOCULARIS","DOLICHOPTERYX BINOCULARIS",NA
540,"DIAPHUS TAANINGI","DIAPHUS TAANINGI",NA
541,"ECHIOSTOMA BARBATUM","ECHIOSTOMA BARBATUM",NA
542,"EUSTOMIAS BIBULBOSUS","EUSTOMIAS BIBULBOSUS",NA
543,"EUSTOMIAS DUBIUS","EUSTOMIAS DUBIUS",NA
544,"EUSTOMIAS FILIFER","EUSTOMIAS FILIFER",NA
545,"EUSTOMIAS OBSCURUS","EUSTOMIAS OBSCURUS",NA
546,"EUSTOMIAS SCHMIDTI","EUSTOMIAS SCHMIDTI",NA
547,"EUSTOMIAS TETRANEMA","EUSTOMIAS TETRANEMA",NA
548,"GONOSTOMA  SP.","ANGLEMOUTHS (NS)",NA
549,"LAMPADENA CHAVESI","LAMPADENA CHAVESI",NA
550,"LAMPANYCTUS LINEATUS","LAMPANYCTUS LINEATUS",NA
551,"LAMPANYCTUS NOBILIS","LAMPANYCTUS NOBILIS",NA
552,"LEPIDOPHANES SP.","LEPIDOPHANES SP.",NA
553,"LESTIDIOPS AFFINIS","LESTIDIOPS AFFINIS",NA
554,"LINOPHRYNE SP.","LINOPHRYNE SP.",NA
555,"LOPHOTUS LACEPEDEI","LOPHOTUS LACEPEDEI",NA
556,"MACRORHAMPHOSUS SCOLOPAX","LONGSPINE SNIPEFISH",NA
557,"MELAMPHAES SUBORBITALIS","MELAMPHAES SUBORBITALIS",NA
558,"MELAMPHAEIDAE","MELAMPHAEIDAE",NA
559,"MYCTOPHUM SELENOPS","MYCTOPHUM SELENOPS",NA
560,"OSTEICHTHYES C.","FISHES,BONY (NS)",NA
561,"NANSENIA OBLITA","NANSENIA OBLITA",NA
562,"NEMICHTHYS CURVIROSTRIS","NEMICHTHYS CURVIROSTRIS",NA
563,"NEOEPINNULA ORIENTALIS","NEOEPINNULA ORIENTALIS",NA
564,"OPISTHOPROCTUS SOLEATUS","OPISTHOPROCTUS SOLEATUS",NA
565,"PARALEPIS  SP.","BARRACUDINA (NS)",NA
566,"PHOTONECTES SP.","PHOTONECTES SP.",NA
567,"NEOCONGER SP.","NEOCONGER SP.",NA
568,"POECILOPSETTA SP.","POECILOPSETTA SP.",NA
569,"POROMITRA SP.","POROMITRA SP.",NA
570,"SCOPELARCHUS MICHAELSARSI","SCOPELARCHUS MICHAELSARSI",NA
571,"SCOPELOGADUS SP.","SCOPELOGADUS SP.",NA
572,"SCOPELOSAURUS SP.","SCOPELOSAURUS (NS)",NA
573,"SQUALIOLUS LATICAUDUS","SQUALIOLUS LATICAUDUS",NA
574,"STOMIAS BREVIBARBATUS","STOMIAS BREVIBARBATUS",NA
575,"STYLEPHORUS CHORDATUS","STYLEPHORUS CHORDATUS",NA
576,"SYNAGROPS BELLA","BLACKMOUTH BASS",NA
577,"ZENION HOLOLEPIS","ZENION HOLOLEPIS",NA
578,"CHAETODON SP.","CHAETODON SP.",NA
579,"ARIOSOMA BALEARICUM","BANDTOOTH CONGER",NA
580,"PERISTEDION SP.","PERISTEDION SP.",NA
581,"BATHYCLUPEA ARGENTEA","BATHYCLUPEA ARGENTEA",NA
582,"EPIGONUS OCCIDENTALIS","EPIGONUS OCCIDENTALIS",NA
583,"ARISTOSTOMIAS PHOTODACTYLUS","ARISTOSTOMIAS PHOTODACTYLUS",NA
584,"ACANTHURUS SP.","ACANTHURUS SP.",NA
585,"CORYPHAENA EQUISELIS","CORYPHAENA EQUISELIS",NA
586,"PARABLENNIUS MARMOREUS","SEAWEED BLENNY",NA
587,"EPIGONUS PANDIONIS","EPIGONUS PANDIONIS",NA
588,"SCOPELOSAURUS LEPIDUS","SCOPELOSAURUS LEPIDUS",NA
589,"RAJA BIGELOW","RAJA BIGELOW",NA
590,"AMMODYTIDAE F.","SAND LANCES (NS)",NA
591,"BREVIRAJA SPINOSA","BREVIRAJA SPINOSA",NA
592,"SHARK (NS)","SHARK (NS)",NA
593,"CHLOROPHTHALMIDAE","GREENEYES (NS)",NA
594,"ALEPOCEPHALUS AGASSIZII","SMOOTHHEAD,AGASSIZ'S",NA
595,"CYTTOPSIS ROSEA","RED DORY",NA
596,"BAJACALIFORNIA MEGALOPS","BIGEYE SMOOTH-HEAD",NA
597,"BLENNIIDAE SP.","BLENNIIDAE SP.",NA
598,"ZOARCIDAE F.","EELPOUTS (NS)",NA
599,"AMMODYTES AMERICANUS","AMERICAN SAND LANCE",NA
600,"ANGUILLA ROSTRATA","AMERICAN EEL",NA
601,"SIMENCHELYS PARASITICA","SNUBNOSE EEL, SLIME EEL",NA
602,"SYNAPHOBRANCHUS KAUPI","GRAY'S CUTTHROAT EEL",NA
603,"LYCENCHELYS VERRILLI","WOLF EELPOUT",NA
604,"NEMICHTHYS SCOLOPACEUS","SNIPE EEL",NA
605,"BLENNIOIDEI S.O.","BLENNIES,SHANNIES,GUNNELS -OBS-",NA
606,"GYMNOTHORAX FUNEBRIS","GREEN MORAY",NA
607,"NESSORHAMPHUS INGOLFIANUS","DUCKBILL OCEANIC EEL",NA
608,"CONGER OCEANICUS","CONGER EEL",NA
609,"OPHICHTHUS CRUENTIFER","SNAKE EEL",NA
610,"AMMODYTES DUBIUS","NORTHERN SAND LANCE",NA
611,"AMMODYTES SP.","SAND LANCE (NS)",NA
612,"DERICHTHYS SERPENTINUS","DERICHTHYS SERPENTINUS",NA
613,"SERRIVOMER BEANI","STOUT SAWPALATE",NA
614,"EURYPHARYNX PELECANOIDES","PELICAN GULPER",NA
615,"LIPOGENYS GILLII","BACKFIN TAPIRFISH",NA
616,"GYMNELIS VIRIDIS","FISH DOCTOR",NA
617,"LYCENCHELYS PAXILLUS","COMMON WOLF EEL",NA
618,"LYCENCHELYS SARSI","SARS WOLF EEL",NA
619,"LYCODES TERRAENOVA","EELPOUT,NEWFOUNDLAND",NA
620,"LYCODES LAVALAEI","LAVAL'S EELPOUT",NA
621,"PHOLIS GUNNELLUS","ROCK GUNNEL(EEL)",NA
622,"LUMPENUS LUMPRETAEFORMIS","SNAKE BLENNY",NA
623,"LUMPENUS MACULATUS","DAUBED SHANNY",NA
624,"STICHAEUS PUNCTATUS","ARCTIC SHANNY",NA
625,"ULVARIA SUBBIFURCATA","RADIATED SHANNY",NA
626,"EUMESOGRAMMUS PRAECISUS","4-LINE SNAKE BLENNY",NA
627,"LYCODES PALLIDUS","PALE EELPOUT",NA
628,"LYCODES POLARIS","POLAR EELPOUT",NA
629,"CHIROLOPHUS ASCANII","YARRELL'S BLENNY",NA
630,"CRYPTACANTHODES MACULATUS","WRYMOUTH",185
631,"LUMPENUS FABRICII","SLENDER EELBLENNY",NA
632,"LUMPENUS MEDIUS","STOUT EELBLENNY",NA
633,"PHOLIS FASCIATA","BANDED GUNNEL",NA
634,"ANGUILLOIDEI S.O.","UNIDENTIFIED EELS",NA
635,"CALLIONYMIDAE F.","DRAGONETS",NA
636,"PERCIFORMES O.","PERCHLIKE FISHES",NA
637,"FOETOREPUS AGASSIZI","SPOTFIN DRAGONET",NA
638,"SERRIVOMER BREVIDENTATUS","SERRIVOMER BREVIDENTATUS",NA
639,"STICHAEIDAE F.","PRICKLEBACKS",NA
640,"MACROZOARCES AMERICANUS","OCEAN POUT(COMMON)",NA
641,"LYCODES RETICULATUS","ARCTIC EELPOUT",NA
642,"LYCODES SP.","EELPOUTS(NS)",NA
643,"LYCODES ESMARKI","VACHON'S EELPOUT",NA
644,"BLENNIOIDEI S.O.","BLENNIES,SHANNIES,GUNNELS",NA
645,"STICHAEIDAE F.","SHANNY-UNIDENTIFIED",NA
646,"MELANOSTIGMA ATLANTICUM","ATLANTIC SOFT POUT",NA
647,"LYCODES VAHLII","SHORTTAILED EELPOUT(VAHL)",NA
648,"ANGUILLIDAE F.","EEL-UNIDENTIFIED",NA
649,"OPHIDIIDAE","CUSK-EELS INCLUDES BROTULIDAE F.",NA
650,"LEPOPHIDIUM PROFUNDORUM","FAWN CUSK EEL",NA
651,"ANGUILLA ANGUILLA","EUROPEAN EEL",NA
652,"PERCOIDEI S.O.","PERCOIDEI F.",NA
653,"CALLIONYMUS BAIRDI","CORAL DRAGONET",NA
654,"OPHIDION SELENOPS","MOONEYE CUSK-EEL",NA
655,"BYTHITIDAE F.","BYTHITIDAE F.",NA
656,"SERRIVOMER SP.","SERRIVOMER SP.",NA
657,"CALLIONYMUS SP.","CALLIONYMUS SP.",NA
658,"CALLIONYMUS PAUCIRADIATUS","CALLIONYMUS PAUCIRADIATUS",NA
659,"FACCIOLELLA SP.","FACCIOLELLA SP.",NA
660,"OPHIDIOIDEI S.O.","CUSK EELS (NS)",NA
661,"HEMANTHIAS VIVANUS","RED BARBIER",NA
662,"NOTACANTHIDAE F.","SPINY EELS (NS)",NA
663,"DIPLECTRUM SP.","DIPLECTRUM SP.",NA
664,"MYCTEROPERCA SP.","SEA BASSES",NA
665,"MELANOSTOMIATIDAE (STOMIATIDAE) F.","DRAGONFISHES,SMOOTH",NA
666,"LESTIDIUM ATLANTICUM","LESTIDIUM ATLANTICUM",NA
667,"VINCIGUERRIA POWERIAE","VINCIGUERRIA POWERIAE",NA
668,"ANTHIAS SP.","ANTHIAS SP.",NA
669,"ATHERINIDAE F.","ATHERINIDAE F.",NA
670,"EUSTOMIAS FISSIBARBIS","EUSTOMIAS FISSIBARBIS",NA
671,"VINCIGUERRIA ATTENUATA","VINCIGUERRIA ATTENUATA",NA
672,"PONTINUS SP.","PONTINUS",NA
673,"SYNAGROPS SPINOSA","SYNAGROPS SPINOSA",NA
674,"PARALEPIS COREGONOIDES","PARALEPIS COREGONOIDES",NA
675,"SYNGNATHUS DUNCKERI","PUGNOSE PIPEFISH",NA
676,"SYNGNATHUS SPRINGERI","BULL PIPEFISH",NA
677,"EPIGONUS DENTICULATUS","EPIGONUS DENTICULATUS",NA
678,"HEMIRAMPHUS BRASILIENSIS","BALLYHOO",NA
679,"VALENCIENNELLUS TRIPUNCTULATUS","VALENCIENNELLUS TRIPUNCTULATUS",NA
680,"STOMIATIFORMES (ORDER)","STOMIATIFORMES",NA
681,"SCOPELARCHUS ANALIS","SCOPELARCHUS ANALIS",NA
682,"HIRUNDICHTHYS AFFINIS","FOURWING FLYING FISH",NA
683,"ONEIRODIDAE F.","F.ONEIRODIDAE",NA
684,"VINCIGUERRIA NIMBARIA","VINCIGUERRIA NIMBARIA",NA
685,"APOGON PSEUDOMACULATUS","TWOSPOT CARDINALFISH",NA
686,"MELAMPHAES SP.","MELAMPHAES SP.",NA
687,"CERATIOIDEI S.O.","CERATIOIDEI S.O.",NA
688,"LESTIDIOPS JAYAKARI","LESTIDIOPS JAYAKARI",NA
689,"TRICHIURIDAE F.","CUTLASSFISHES (NS)",NA
690,"BREGMACEROS SP.","BREGMACEROS SP.",NA
691,"SUDIS HYALINA","SUDIS HYALINA",NA
692,"DIODONTIDAE F.","PORCUPINEFISHES (NS)",NA
693,"SYMPHURUS MINOR","LARGESCALE TONGUEFISH",NA
694,"OGCOCEPHALIDAE F.","BATFISHES",NA
695,"DIPLECTRUM FORMOSUM","SAND PERCH",NA
696,"CYCLOTHONE ACCLINIDENS","CYCLOTHONE ACCLINIDENS",NA
697,"APOGONIDAE F.","CARDINAL FISHES",NA
698,"EPINEPHELUS NIVEATUS","SNOWY GROUPER",NA
699,"POLYPRION AMERICANUS","ATLANTIC WRECKFISH",NA
700,"ARGYROPELECUS ACULEATUS","ATLANTIC SILVER HATCHFISH",NA
701,"PEPRILUS TRIACANTHUS","BUTTERFISH",NA
702,"SYNGNATHUS FUSCUS","NORTHERN PIPEFISH",NA
703,"SYNGNATHUS PELAGICUS","PELAGIC PIPEFISH",NA
704,"ZENOPSIS OCELLATA","AMERICAN JOHN DORY",NA
705,"ARGYROPELECUS GIGAS","ARGYROPELECUS GIGAS",NA
706,"ARGYROPELECUS HEMIGYMNUS","ARGYROPELECUS HEMIGYMNUS",NA
707,"ARGYROPELECUS LYCHNUS LYCHNUS","ARGYROPELECUS LYCHNUS LYC",NA
